inning,is_bot,outs,score_diff_bat,bases_idx,mean,count,LI
1,1,2,-3,6,0.108691305,12,2.9658732
1,1,2,-3,7,0.12577015,22,3.4319057
1,1,2,-2,0,0.018624717,717,0.508215
1,1,2,-2,1,0.03337095,408,0.91059726
1,1,2,-2,2,0.07559248,121,2.0627015
1,1,2,-2,3,0.043564174,183,1.1887411
1,1,2,-2,4,0.0593508,24,1.6195127
1,1,2,-2,5,0.07139915,73,1.9482776
1,1,2,-2,6,0.08302754,20,2.2655828
1,1,2,-2,7,0.07017783,54,1.9149512
1,1,2,-1,0,0.015873907,1586,0.4331533
1,1,2,-1,1,0.038111754,839,1.0399601
1,1,2,-1,2,0.052225262,238,1.4250772
1,1,2,-1,3,0.0669445,329,1.826723
1,1,2,-1,4,0.056534003,78,1.5426505
1,1,2,-1,5,0.09058867,145,2.4719043
1,1,2,-1,6,0.11387852,58,3.1074173
1,1,2,-1,7,0.121876575,106,3.3256614
1,1,2,0,0,0.015392549,7465,0.4200184
1,1,2,0,1,0.037510026,3929,1.0235407
1,1,2,0,2,0.044531863,1098,1.2151465
1,1,2,0,3,0.06629612,1480,1.8090307
1,1,2,0,4,0.049681958,336,1.3556778
1,1,2,0,5,0.076781355,649,2.0951424
1,1,2,0,6,0.118603244,252,3.2363415
1,1,2,0,7,0.10208184,440,2.78552
1,1,2,1,0,0.009415347,1015,0.25691774
1,1,2,1,1,0.022248145,872,0.6070879
1,1,2,1,2,0.032520458,441,0.8873898
1,1,2,1,3,0.04510276,600,1.2307247
1,1,2,1,4,0.0497387,152,1.3572261
1,1,2,1,5,0.08569532,345,2.338379
1,1,2,1,6,0.09133596,165,2.4922957
1,1,2,1,7,0.09354591,223,2.552599
1,1,2,2,0,0.01837336,503,0.5013562
1,1,2,2,1,0.027027788,399,0.7375106
1,1,2,2,2,0.036610216,236,0.99898756
1,1,2,2,3,0.043449406,273,1.1856093
1,1,2,2,4,0.04498927,87,1.2276279
1,1,2,2,5,0.057409085,172,1.5665289
1,1,2,2,6,0.038483843,57,1.0501134
1,1,2,2,7,0.052397747,98,1.4297838
1,1,2,3,0,0.012360251,301,0.3372757
1,1,2,3,1,0.038534142,204,1.0514859
1,1,2,3,2,0.013553432,131,0.3698342
1,1,2,3,3,0.017840018,133,0.48680282
1,1,2,3,4,0.016342811,37,0.44594833
1,1,2,3,5,0.023185385,60,0.63266253
1,1,2,3,6,0.03396878,32,0.92691034
1,1,2,3,7,0.05341986,58,1.4576744
1,1,2,4,0,0.015166628,131,0.41385368
1,1,2,4,1,0.03812484,79,1.0403173
1,1,2,4,2,0.042718366,52,1.1656613
1,1,2,4,3,0.028980859,62,0.7908043
1,1,2,4,4,0.06475142,16,1.76688
1,1,2,4,5,0.0330888,37,0.9028982
1,1,2,4,6,0.016731203,13,0.45654643
1,1,2,4,7,0.048028648,20,1.3105637
1,1,2,5,0,0.022246221,47,0.6070354
1,1,2,5,1,0.02230327,39,0.60859215
1,1,2,5,2,0.012573831,25,0.3431037
1,1,2,5,3,0.028209612,17,0.7697592
1,1,2,5,4,0.03404972,10,0.92911893
1,1,2,5,5,0.046870366,18,1.2789575
1,1,2,5,6,0.032775186,11,0.8943406
1,1,2,5,7,0.055659134,15,1.5187777
1,1,2,6,0,0.0042975694,16,0.11726832
1,1,2,6,1,0.012750401,17,0.3479218
1,1,2,6,2,0.010579447,9,0.2886827
1,1,2,6,3,0.03558531,12,0.9710208
1,1,2,6,4,0.0076732635,4,0.2093813
1,1,2,6,5,0.008360401,4,0.22813131
1,1,2,6,6,0.02992022,1,0.81643677
1,1,2,6,7,0.01693651,2,0.4621487
1,1,2,7,0,0.0,7,0.0
1,1,2,7,1,0.0,8,0.0
1,1,2,7,2,0.0,5,0.0
1,1,2,7,3,0.0,3,0.0
1,1,2,7,5,0.0,2,0.0
1,1,2,7,6,0.0,2,0.0
1,1,2,7,7,0.0,1,0.0
1,1,2,8,0,0.0,3,0.0
1,1,2,8,1,0.0,4,0.0
1,1,2,8,2,0.0,2,0.0
1,1,2,8,3,0.0,1,0.0
1,1,2,8,4,0.0,3,0.0
1,1,2,8,5,0.0,3,0.0
1,1,2,9,0,0.0,3,0.0
1,1,2,9,1,0.0,4,0.0
1,1,2,9,3,0.0,2,0.0
1,1,2,9,5,0.0,1,0.0
1,1,2,9,7,0.0,1,0.0
1,1,2,10,0,0.0,2,0.0
1,1,2,10,1,0.0,1,0.0
