team,year,total_war,bat_war,pit_war,actual_w
CIN,1982,29.779999999999994,11.37,18.409999999999997,61
TEX,1982,3.05,-7.089999999999999,10.139999999999999,64
CAL,1982,42.660000000000004,26.770000000000003,15.89,93
ATL,1982,35.94,20.069999999999997,15.870000000000001,89
SFN,1982,36.46,18.12,18.34,87
PIT,1982,46.27,28.400000000000002,17.87,84
SDN,1982,19.479999999999997,7.219999999999999,12.26,81
CHN,1982,28.980000000000004,13.270000000000001,15.71,73
SEA,1982,8.880000000000003,-3.02,11.900000000000002,76
DET,1982,16.44,12.59,3.8500000000000005,83
ML4,1982,49.010000000000005,33.86000000000001,15.150000000000002,95
MIN,1982,-0.2600000000000007,3.9799999999999995,-4.24,60
MON,1982,53.449999999999996,31.969999999999995,21.48,86
CAL,1983,11.899999999999999,2.3,9.6,70
KCA,1983,19.43,10.2,9.229999999999999,79
BOS,1983,29.43,20.529999999999998,8.9,78
SEA,1983,-2.1699999999999964,-13.229999999999995,11.059999999999999,60
SLN,1983,35.28,24.24,11.040000000000001,79
OAK,1983,13.22,8.74,4.48,74
LAN,1983,52.43,27.310000000000002,25.119999999999997,91
TEX,1983,20.92,2.9799999999999995,17.94,77
HOU,1983,38.900000000000006,21.060000000000002,17.84,85
NYN,1983,16.57,5.73,10.840000000000002,68
BAL,1983,35.12,19.5,15.62,98
CHA,1983,36.21,17.700000000000003,18.509999999999998,99
NYA,1983,35.68,14.399999999999999,21.28,91
CLE,1983,20.970000000000002,9.860000000000003,11.11,70
TOR,1983,35.67,23.49,12.18,89
CIN,1983,19.97,10.339999999999998,9.629999999999999,74
ATL,1983,43.84,28.650000000000002,15.19,88
SFN,1983,30.250000000000007,15.830000000000004,14.420000000000002,79
PIT,1983,46.739999999999995,27.019999999999992,19.72,84
SDN,1983,15.18,4.700000000000001,10.479999999999999,81
CHN,1983,33.59,18.33,15.260000000000002,71
DET,1983,33.010000000000005,22.52,10.490000000000002,92
ML4,1983,30.049999999999997,19.299999999999997,10.749999999999998,87
MIN,1983,12.780000000000001,8.340000000000002,4.44,70
PHI,1983,50.44,25.05,25.39,90
MON,1983,44.93,26.68,18.25,82
PHI,1984,50.589999999999996,28.91,21.679999999999996,81
TOR,1984,37.86,24.319999999999997,13.54,89
BOS,1984,37.65,25.189999999999998,12.46,86
OAK,1984,18.56,14.54,4.02,77
LAN,1984,45.92999999999999,18.99,26.939999999999998,79
TEX,1984,14.129999999999999,2.0199999999999996,12.11,69
SLN,1984,35.27,16.07,19.200000000000003,84
HOU,1984,47.56,26.110000000000003,21.450000000000003,80
BAL,1984,19.02,8.389999999999999,10.63,85
NYN,1984,39.11,19.68,19.43,90
CHA,1984,20.810000000000002,9.26,11.55,74
DET,1984,42.04,24.439999999999998,17.6,104
SFN,1984,28.54,16.529999999999998,12.010000000000002,66
KCA,1984,19.82,5.58,14.24,84
CLE,1984,22.580000000000002,12.430000000000001,10.15,75
NYA,1984,31.269999999999996,11.959999999999999,19.31,87
ATL,1984,21.650000000000006,6.450000000000003,15.200000000000001,80
CAL,1984,21.97,10.76,11.21,81
PIT,1984,40.73,18.36,22.369999999999997,75
SDN,1984,28.18,13.82,14.36,92
CIN,1984,25.32,10.9,14.419999999999998,70
SEA,1984,18.509999999999998,8.27,10.239999999999998,74
CHN,1984,55.36000000000001,33.040000000000006,22.32,96
ML4,1984,10.670000000000002,-0.9599999999999991,11.63,67
MIN,1984,13.45,5.06,8.39,81
MON,1984,32.11,16.12,15.99,78
SFN,1985,24.120000000000005,6.499999999999998,17.620000000000005,62
PHI,1985,35.34,20.1,15.24,75
PIT,1985,24.54,7.130000000000002,17.409999999999997,57
LAN,1985,63.63,35.970000000000006,27.659999999999997,95
SLN,1985,57.239999999999995,34.61,22.63,101
